system_id,invocation_segment,taxonomy_condition,segment_first_start_utc,segment_last_end_utc,raw_checkpoint_record_count,unique_raw_task_count,terminal_error_checkpoint_record_count,unique_terminal_error_task_count,canonical_successful_task_count,canonical_condition_share_within_segment,provenance_basis,raw_marker_exposed,analysis_status
glm-5.2,invocation_002,T0,2026-07-06T23:16:50+00:00,2026-07-07T04:32:22+00:00,604,604,604,604,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_002,T1,2026-07-06T23:16:50+00:00,2026-07-07T04:32:22+00:00,591,591,591,591,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_002,T2,2026-07-06T23:16:50+00:00,2026-07-07T04:32:22+00:00,600,600,600,600,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_002,T3,2026-07-06T23:16:50+00:00,2026-07-07T04:32:22+00:00,600,600,600,600,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_002,T4,2026-07-06T23:16:50+00:00,2026-07-07T04:32:22+00:00,614,614,614,614,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_003,T0,2026-07-07T05:32:25+00:00,2026-07-07T06:58:29+00:00,157,157,157,157,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_003,T1,2026-07-07T05:32:25+00:00,2026-07-07T06:58:29+00:00,170,170,170,170,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_003,T2,2026-07-07T05:32:25+00:00,2026-07-07T06:58:29+00:00,158,158,158,158,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_003,T3,2026-07-07T05:32:25+00:00,2026-07-07T06:58:29+00:00,164,164,164,164,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_003,T4,2026-07-07T05:32:25+00:00,2026-07-07T06:58:29+00:00,176,176,176,176,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_004,T0,2026-07-07T07:10:44+00:00,2026-07-07T09:26:43+00:00,604,604,0,0,604,0.20073113991359257,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_004,T1,2026-07-07T07:10:44+00:00,2026-07-07T09:26:43+00:00,591,591,0,0,591,0.19641076769690927,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_004,T2,2026-07-07T07:10:44+00:00,2026-07-07T09:26:43+00:00,600,600,0,0,600,0.19940179461615154,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_004,T3,2026-07-07T07:10:44+00:00,2026-07-07T09:26:43+00:00,600,600,0,0,600,0.19940179461615154,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
glm-5.2,invocation_004,T4,2026-07-07T07:10:44+00:00,2026-07-07T09:26:43+00:00,614,614,0,0,614,0.20405450315719509,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_001,T0,2026-07-05T07:58:00+00:00,2026-07-05T20:49:13+00:00,1500,1500,1500,1500,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_001,T1,2026-07-05T07:58:00+00:00,2026-07-05T20:49:13+00:00,1500,1500,1500,1500,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_001,T2,2026-07-05T07:58:00+00:00,2026-07-05T20:49:13+00:00,1500,1500,1500,1500,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_001,T3,2026-07-05T07:58:00+00:00,2026-07-05T20:49:13+00:00,1500,1500,1500,1500,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_001,T4,2026-07-05T07:58:00+00:00,2026-07-05T20:49:13+00:00,1500,1500,1500,1500,0,,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_002,T0,2026-07-06T07:08:21+00:00,2026-07-06T13:31:55+00:00,1500,1500,0,0,1500,0.20000000000000001,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_002,T1,2026-07-06T07:08:21+00:00,2026-07-06T13:31:55+00:00,1500,1500,0,0,1500,0.20000000000000001,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_002,T2,2026-07-06T07:08:21+00:00,2026-07-06T13:31:55+00:00,1500,1500,0,0,1500,0.20000000000000001,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_002,T3,2026-07-06T07:08:21+00:00,2026-07-06T13:31:55+00:00,1500,1500,0,0,1500,0.20000000000000001,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
kimi-k2.7-code,invocation_002,T4,2026-07-06T07:08:21+00:00,2026-07-06T13:31:55+00:00,1500,1500,0,0,1500,0.20000000000000001,chronological ordinal within system of the legacy hardware_snapshot_id invocation marker; raw marker values are suppressed and no account identity is inferred,False,post-result operational audit from frozen predictions; no new inference
